id,name_short,name,type,sex,birth,position,education,sucject,party,religion,kids,twitter,instagram,facebook,youtube
parlbeirat,parlamentarischerbeirat,Parlamentarischer Beirat für nachhaltige Entwicklung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
paramount,paramountNY,"Paramount Group Inc., New York",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
flug,zweckverbandflugfeld,Zweckverband Flugfeld Böblingen/Sindelfingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
heussstiftung,theodorheussstiftung,"Theodor-Heuss-Stiftung, Stuttgart",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hauptaus,hauptausschuss,Hauptausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ufreiburg,unifreiburg,Universität Freiburg im Breigau,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uzuerich,unizuerich,Universität Zürich,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
beratung,beratungkarin,Beratung und Kommunikation für Karin Rehbock-Zureich,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
spd,parteispd,SPD,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verdi,verdii,ver.di,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vergessen,gegenvergessen,Gegen Vergessen Für Demokratie e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
eurosolare,eurosolarevereinigung,EUROSOLARE Europäische Vereinigung für Erneuerbare Energien e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
klar,klarleben,KLAR - Kein Leben mit atomaren Risiken,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hospiz,hospizdienst,Hospizdienst e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gesellreaktor,gesellschaftreaktorsicherheit,"Geselllschaft für Anlagen- und Reaktorsicherheit (GRS) mbH, Köln",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dbu,umweltstiftung,"Deutsche Bundesstiftung Umwelt (DBU), Osnabrück",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wirtforum,wirtschaftsforum,"Wirtschaftsforum der SPD e.V., Berlin",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
arbeiterwohl,arbeiterwohlfahrt,Arbeiterwohlfahrt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
arbeitergemeinfrau,arbeitsgemeinschaftfrau,Arbeitsgemeinschaft sozialdemokratischer Frauen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wirtschaftaus,ausschusswirtschaft,Ausschuss für Wirtschaft und Technologie,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verkehraus,verkehrsausschuss,"Ausschuss für Verkehr, Bau und Stadtentwicklung",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
evangelischfh,evfachhochschulereutlingen,Evangelische Fachhochschule für Sozialwesen Reutlingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ajc,americanjewishcommittee,American Jewish Committee,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dtf,deutschtürkischesforum,Kuratorium des Deutsch-Türkischen Forum Stuttgart e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ths,theodorheussstiftung,Kuratorium der Theodor-Heuss-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bvmw,bundesverbandwirtschaft,Bundesverband Mittelständische Wirtschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ullstein,ullsteinbuchverlage,Ullstein Buchverlage GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
celebrity,celebrityspeakers,Celebrity Speakers Limited,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
heimeier,drheimeier,Dr. Heimeier & Partner Management- und Personalberatung GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
young,ernstyoung,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
immoebs,immoebsev,IMMOEBS e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
schweizinsti,schweizerischesinstitut,Schweizerisches Institut für Auslandsforschung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tapestry,tapestrynetworks,Tapestry Networks,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
speakerlondon,thelondonspeakerbureau,The London Speaker Bureau,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
smartenergy,smartenergyforeurope,Agora Verkehrswende Smart Energy for Europe Plattform,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
destiftung,deutschlandstiftung,Deutschlandstiftung Integration gemeinnützige GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
start,startstiftung,Start-Stiftung gemeinnützige GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ifm,institutmobilität,Institut für Mobilität der Universität St. Gallen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
iff,institutfreedom,Institute for Freedom of Faith & Security in Europe,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ai,atlantischeinitiative,Atlantische Initiative e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
as,avicennastudienwerk,Avicenna-Studienwerk e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dpz,progressiveszentrum,Das Progressive Zentrum e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fc,fcplayfair,FC Play Fair! Verein für Integrität und Nachhaltigkeit im Fußball e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ikw,ichkannwas,Ich kann was!-Initiative für Kinder und Jugendliche e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
stiftunggedenken,stiftunggedenkenfrieden,Stiftung Gedenken und Frieden,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
stiftungbild,stiftungbildung,Stiftung: Bildung Egitim!,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tuerkdeu,tuerkischdeutscheplattform,Türkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wirtwest,wirtschaftwestfalen,Wirtschaftliche Gesellschaft für Westfalen und Lippe e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zdf,zdffernsehrat,ZDF Fernsehrat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
af,aktionfahrrad,AKTIONfahrRAD,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
haushaltkontrolle,haushaltskontrollausschuss,Haushalt-Kontrollausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verbandvers,verbandsversammlung,Verbandsversammlung Regionalverband Nordschwarzwald,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
reinhold,reinholdmaierstiftung,Reinhold-Maier-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wolfgang,wolfgangdoeringstiftung,Wolfgang-Döring-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dhbw,dualehochschulebw,Duale Hochschule Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
arbeitsaus,ausschussarbeitsoziales,Ausschuss für Arbeit und Soziales,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tourisaus,ausschusstourismus,Ausschuss für Tourismus,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gesundheitsaus,ausschussgesundheit,Ausschuss für Gesundheit,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
iks,konferenzstabilitaet,"Interparlamentarische Konferenz über Stabilität, wirtschaftspolitische Koordinierung und Steuerung in der EU",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
cnc,communicationsnetwork,Communications & Network Consulting AG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
leuco,leucoag,Leuco AG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sparkasse,kreissparkasse,Kreisparkkasse Freudenstadt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bank,lbank,Landeskreditbank Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bb,badenbaden,Baden-Badener Unternehmer Gespräche e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aiesec,deutscheskomitee,Deutsches Komitee der AIESEC e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
idi,initiativeinfrastruktur,Initiative Deutsche Infrastruktur e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wirtschaftsclub,wirtschaftsclubde,Wirtschaftspolitischer Club Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
twf,twfmetall,TWF Metallbearbeitungs Holding UG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ltbw,landtagbw,Landtag Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ukarlsruhe,unikarlsruhe,Karlsruher Institut für Technologie,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
landesanstaltumweltschutz,Ifu,Zivildienst an der Landesanstalt für Umweltschutz Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
grueneju,gruenejugend,Grünen Jugend,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
verteidigungaus,verteidigungsausschuss,Verteidigungsausschuss ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rechnungsaus,rechnungsprüfungsausschuss,Stellvertretender Vorsitzender des Rechnungsprüfungsausschusses,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vertrauen,vertrauensgremium,Mitglied im Vertrauensgremium,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
pvnato,parlamentarischeversammlungnato,Parlamentarische Versammlung der NATO,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
berger,rolandbergergmbh,Roland Berger GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hector,hectorschool,Hector School of Engineering and Management,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ostfriese,ostfriesischewinzer,Mitglied Aufsichtsrat Erste Ostfriesische Winzergenossenschaft eG i.G.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
immobilie,bundesanstaltimmo,Mitglied Verwaltungsrat Bundesanstalt für Immobilienaufgaben,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
europauniondeutschland,europauniondeutschlandeV,Mitglied Europa-Union Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kuragenera,kuratoriumgenerationen,Mitglied im Kuratorium Mehrgenerationenhaus der Stadt Wörth am Rhein,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zweckabfall,zweckverbandabfall,Mitglied im Zweckverband Abfallverwertung Südwestpfalz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
guericke,agindustrielleforschung,Mitglied des Senats Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
georgischesforum,deutschgeorgischesforum,"Vorstand Deutsch-Georgisches Forum für Politik, Wissenschaft und Kultur e.V.",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
haviva,givadhaviva,Beirat Freundeskreis Givat Haviva Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zuse,industrieforschung,Senatsmitglied Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
juli,jungeliberale,Junge Liberale,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ukonstanz,unikonstanz,Universität Konstanz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
untersuchung,nsuuntersuchung,Berater für NSU-Untersuchungsausschuss Landtag Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gemeindeberg,gemeinderatberg,Gemeinderat Gemeinde Berg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gremiumzoll,gremiumzollfahndung,Mitglied Gremium Zollfahndungsgesetz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
